,Open,High,Low,Close,Adj Close,Volume
2022-10-19 09:30:00-04:00,118.79000091552734,119.98999786376953,118.6500015258789,119.70110321044922,,1456262.0
2022-10-19 09:31:00-04:00,119.76499938964844,119.77999877929688,119.01100158691406,119.4000015258789,,177653.0
2022-10-19 09:32:00-04:00,119.37000274658203,119.80000305175781,118.7500991821289,118.93060302734375,,204161.0
2022-10-19 09:33:00-04:00,118.87000274658203,119.86000061035156,118.83999633789062,119.75,,262602.0
2022-10-19 09:34:00-04:00,120.06079864501953,120.12000274658203,119.94599914550781,120.0,,272142.0
2022-10-19 09:35:00-04:00,119.97000122070312,120.40989685058594,119.9000015258789,120.36000061035156,,262686.0
2022-10-19 09:36:00-04:00,120.30120086669922,120.61000061035156,120.12000274658203,120.31999969482422,,272338.0
2022-10-19 09:37:00-04:00,120.31999969482422,120.31999969482422,119.94999694824219,120.0999984741211,,191996.0
2022-10-19 09:38:00-04:00,120.11990356445312,120.11990356445312,119.61000061035156,119.66000366210938,,148161.0
2022-10-19 09:39:00-04:00,119.64350128173828,119.95999908447266,119.57009887695312,119.91960144042969,,142376.0
2022-10-19 09:40:00-04:00,119.88369750976562,120.18000030517578,119.31999969482422,119.59629821777344,,282596.0
2022-10-19 09:41:00-04:00,119.62989807128906,119.62989807128906,119.12200164794922,119.31999969482422,,237021.0
2022-10-19 09:42:00-04:00,119.31999969482422,119.33000183105469,118.7500991821289,119.16999816894531,,244551.0
2022-10-19 09:43:00-04:00,119.18000030517578,119.21089935302734,118.93000030517578,119.05999755859375,,161945.0
2022-10-19 09:44:00-04:00,119.48049926757812,119.48999786376953,119.37999725341797,119.37999725341797,,218745.0
2022-10-19 09:45:00-04:00,119.0,119.04000091552734,118.76000213623047,118.93000030517578,,213376.0
2022-10-19 09:46:00-04:00,118.75,118.94000244140625,118.63999938964844,118.94000244140625,,190697.0
2022-10-19 09:47:00-04:00,119.16999816894531,119.19999694824219,118.93499755859375,118.9800033569336,,188350.0
2022-10-19 09:48:00-04:00,119.0,119.0,118.72000122070312,118.87000274658203,,138949.0
2022-10-19 09:49:00-04:00,119.0,119.12999725341797,118.52999877929688,118.64550018310547,,179716.0
2022-10-19 09:50:00-04:00,118.5801010131836,118.80989837646484,118.54000091552734,118.6500015258789,,138112.0
2022-10-19 09:51:00-04:00,119.0,119.43379974365234,118.98500061035156,119.3499984741211,,222562.0
2022-10-19 09:52:00-04:00,119.5,119.52999877929688,119.28900146484375,119.30000305175781,,118703.0
2022-10-19 09:53:00-04:00,119.25,119.25,119.18099975585938,119.18099975585938,,115489.0
2022-10-19 09:54:00-04:00,119.0,119.23999786376953,119.0,119.23999786376953,,109817.0
2022-10-19 09:55:00-04:00,119.5,119.5199966430664,119.49729919433594,119.5199966430664,,143654.0
2022-10-19 09:56:00-04:00,119.0,119.0,118.79010009765625,118.87000274658203,,955222.0
2022-10-19 09:57:00-04:00,118.5,118.68000030517578,118.5,118.66999816894531,,166128.0
2022-10-19 09:58:00-04:00,118.8479995727539,119.04000091552734,118.58180236816406,118.8550033569336,,217069.0
2022-10-19 09:59:00-04:00,118.87879943847656,118.94999694824219,118.70809936523438,118.85800170898438,,108935.0
2022-10-19 10:00:00-04:00,118.80999755859375,118.87000274658203,118.45999908447266,118.51000213623047,,128886.0
2022-10-19 10:01:00-04:00,118.5199966430664,119.08000183105469,118.33999633789062,119.05500030517578,,181745.0
2022-10-19 10:02:00-04:00,119.05500030517578,119.18000030517578,118.86000061035156,118.93000030517578,,91489.0
2022-10-19 10:03:00-04:00,118.9198989868164,119.37989807128906,118.9000015258789,119.3499984741211,,85189.0
